TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Tos8,32,Gsy2,0.177224149,3881.566579,1.702205949,-13.07062295,11.92242332
Tos8,28,Cin5,-0.099253171,5495.110653,8.985253119,6.648388741,12.42393282
Usv1,28,Cin5,0.139022897,3763.88035,14.99132118,-10.11590748,11.87800505
Usv1,72,Gph1,0.017209059,2472.783259,12.12990276,-1.199983779,11.27192008
Usv1,36,Ald6,-0.063393859,2271.55173,11.08558124,4.298984318,11.14946244
Usv1,91,Oca5,0.100571178,36275.20916,44.12431281,-7.219787252,15.14669631
Usv1,30,Icy1,0.159609282,2566.659604,7.415921021,-11.69845893,11.32567626
Usv1,82,Wsc4,0.073572068,36275.20916,44.12431281,-5.23189699,15.14669631
Usv1,89,YBL029C-A,0.297639141,15044.14998,44.38282337,-22.91313884,13.87691497
Yap1,56,Bdh2,-0.108991731,6788.821552,22.3764293,7.276413877,12.72894545
Yap1,67,Lys20,-0.032396681,15847.14854,30.63241484,2.220541645,13.95193565
Yap1,49,Ahp1,-0.285002663,8704.479404,5.644406952,17.92599064,13.0875423
