TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Reb1,76,Crc1,-4.334074682,1809.285187,3.467949892,95.04192014,10.82120411
Rgm1,82,Wsc4,-0.292508313,1123.05268,6.473365597,18.35187349,10.13320989
Rgm1,32,Gsy2,0.06127904,91.05832539,-0.159563282,-4.339038222,6.508719023
Rgm1,28,Cin5,0.243817409,121.4111005,-0.433901749,-18.41217374,6.923756522
Rgm1,89,YBL029C-A,0.094494778,728.4666031,6.344713314,-6.76914446,9.508719023
Rgm1,91,Oca5,0.042583799,1123.05268,6.473365597,-2.995678032,10.13320989
Rpn4,66,Cip1,-0.238897957,405.5818883,3.746795901,15.26076306,8.663849419
Rpn4,67,Lys20,0.421966575,843.6103277,9.291180916,-33.97525625,9.720432947
Sfl1,76,Crc1,0.027900289,125.8323284,-0.163672395,-1.952721672,6.975358812
Sfl1,41,Ecm13,0.189760442,5284.957794,19.54756284,-14.05743093,12.36767623
Sfl1,44,Amn1,0.039730098,1887.484926,6.588557657,-2.792150317,10.88224941
Sfl1,71,Tir3,0.191714866,1132.490956,2.158731213,-14.21204957,10.14528381
Sfl1,70,Rho3,-0.033953341,1384.155613,2.737330976,2.325988223,10.43479043
Sfl1,68,Suc2,0.23559292,62.91616421,-0.300317779,-17.73905228,5.975358812
Sfl1,84,Hxt2,-0.196007391,4089.550674,16.75637578,12.70368813,11.99772663
Sfl1,69,Spi1,0.151839591,188.7484926,0.024530446,-11.0985195,7.560321313
Sfl1,39,Mga1,-0.294622218,4026.63451,15.76979247,18.47142058,11.97535881
Skn7,35,Fmp48,-0.339564801,687.5230451,6.10552303,20.97203307,9.425264262
Skn7,55,Uth1,-0.564850629,21694.41529,57.44429172,32.39745941,14.40503608
Skn7,67,Lys20,-0.090534284,558.1870267,2.786120601,6.082512667,9.124604784
Skn7,50,Cwp2,-0.235408864,9495.986613,24.88661164,15.05557699,13.21310219
Skn7,70,Rho3,-0.022695932,2518.648779,18.04456007,1.560852575,11.29843424
Skn7,53,Cwp2,-0.482930085,9359.843435,24.52324468,28.44770657,13.19226868
Sko1,36,Ald6,0.12112793,2595.36101,21.61577086,-8.758482765,11.34171951
Sko1,30,Icy1,-0.03722224,287.4057494,1.302268352,2.547050223,8.166945112
Sko1,29,Icy1,0.0558946,528.3620848,3.816876574,-3.950348868,9.045383132
Sko1,54,Sed1,-0.015407528,920.2790158,5.275227328,1.062285945,9.845927522
Sko1,35,Fmp48,-0.013784414,1875.395092,11.30420352,0.95091276,10.87297885
Sok2,43,Rsb1,-0.279537324,5230.684887,15.26795171,17.61448127,12.35278414
Sok2,71,Tir3,-0.019853926,2228.882907,3.846492849,1.366743334,11.12210511
Sok2,91,Oca5,-0.688443922,5086.88599,24.06954779,37.94772205,12.31256704
Sok2,54,Sed1,-0.268457066,14559.63835,44.11640419,16.9793039,13.8296869
Sok2,31,YKL044W,-0.031781384,9436.802632,32.79988725,2.178830658,13.20408241
Sok2,89,YBL029C-A,-0.237658123,10497.3195,20.74910692,15.18790791,13.35773336
Sok2,57,YKL044W,-0.404696593,7567.416967,26.18654435,24.46048602,12.88558522
Ste12,47,Sim1,-0.193846614,581.3927881,2.693809904,12.5728433,9.183369365
Ste12,65,Kar4,-2.18054532,2871.728014,9.526770105,77.94076477,11.4877034
Ste12,96,Tec1,-1.540231539,10465.07019,59.02960886,65.61697314,13.35329437
Ste12,38,Pop3,-0.279869806,1832.268181,9.103819113,17.63346556,10.83941496
Ste12,61,Cdc6,-0.167167133,704.718531,5.498040098,10.94102782,9.460903341
Ste12,37,Pcl2,-1.622765743,9548.936095,64.86318846,67.52876285,13.22112429
Ste12,64,Gpa1,-1.204482077,2677.930418,12.86358883,56.60749066,11.38690276
